0	0
1	2302
2	86191
3	718269
4	744412
5	757067
6	770076
7	783921
8	798317
9	817896
a	0
b	1598614
c	2260449
d	3454307
e	4160570
f	4763507
g	0
h	457883
i	968865
j	1903851
k	2183958
l	2258234
m	2619700
n	0
o	332933
p	1027899
q	2123614
r	2168340
s	2735006
t	0
u	1102699
v	1507636
w	1677944
x	2300837
y	2306919
z	2431848
